epoch,loss
1,0.6902203157991
2,0.34947832194771666
3,0.20939058948908673
4,0.09990211971643012
5,0.0385718383787845
6,0.013249000605439133
7,0.005125212466215403
8,0.0034541384056644437
9,0.0020140651869268752
10,0.0015308752523915162
11,0.0012726213543176382
12,0.001107500201049085
13,0.0009903703709566172
14,0.0009056789347966787
15,0.0008432156020110757
16,0.0007945239715239262
17,0.0007563766387249653
18,0.0007258961150470603
19,0.000700960766426117
20,0.0006800590361117656
21,0.0006624740871012321
22,0.0006470935138608658
23,0.0006333209092816743
24,0.0006206698741778058
