epoch,loss
1,1.4109802345589404
2,0.5387651197926542
3,0.4334076098590485
4,0.3795795957987217
5,0.3402010287095407
6,0.30815548376278246
7,0.27993768453759793
8,0.2556900377996298
9,0.23221550383790204
10,0.21095809732048823
11,0.19039390310676052
12,0.17159900346648838
13,0.15223395560740124
14,0.13497983336204844
15,0.11835149609753891
16,0.10233928405543782
17,0.0875679128142829
18,0.07385250495359232
19,0.061851510918518836
20,0.050676542062086175
21,0.04133681279513326
22,0.03322249024547759
23,0.0268553254176703
24,0.021533567408515763
25,0.017522379638613375
26,0.014405144284924773
27,0.012004501191712418
28,0.010177264218352028
29,0.008656923466588638
30,0.007563137309928275
31,0.0066349692976656795
32,0.005909098335808181
33,0.005330678748067594
34,0.004841784235367304
35,0.004443000879124745
36,0.004128270802588454
37,0.0038653069755672357
38,0.003639343366481668
39,0.0034542669534733976
40,0.0032961330117262143
41,0.003161908790164479
42,0.0030461829206195837
43,0.0029436371363759577
44,0.0028528224664749963
45,0.002772771759621685
46,0.002696857609803076
47,0.002629006660850001
48,0.0025622490366177886
49,0.002499784377698509
50,0.002443827633019488
51,0.0023836540387595414
52,0.0023304377732541815
53,0.002466204121387261
54,0.04833112609188859
