epoch,loss
1,0.7348318044473378
2,0.4097107123385132
3,0.3139876140482369
4,0.2424714438587129
5,0.18490634621487495
6,0.1351640284466045
7,0.09417122424168875
8,0.0641053219940256
9,0.04285426699962819
10,0.028790701276595956
11,0.019841963969617866
12,0.014248534137739443
13,0.010787817634411355
14,0.008451274751629049
15,0.006763149341573629
16,0.0055610417385866685
17,0.004645862014969121
18,0.003947484718444543
19,0.003400620153533312
20,0.0029759276818247505
21,0.0026325600210196174
22,0.002358638737808301
23,0.0021356500130962188
24,0.0019524617986185677
25,0.0018033397397745831
26,0.001679765478343573
27,0.0015783538412045275
28,0.0014918120336066085
29,0.001421716743409252
30,0.0013595701987150427
31,0.001308622352176269
32,0.0012631647448082687
33,0.0012243919752934621
34,0.0011890611349562755
35,0.0011584608375273375
36,0.0011287619947438119
37,0.0011015223430527552
38,0.0010778904463174565
