epoch,loss
1,0.8989936319141348
2,0.4369001137869907
3,0.33714873560814057
4,0.26946593312063155
5,0.2130927878973287
6,0.16305317204453476
7,0.1229667857615436
8,0.08894866101734493
9,0.06129974438646748
10,0.04025106259311899
11,0.025729265385036636
12,0.01637044919549356
13,0.010615748331793753
14,0.007383886391104639
15,0.005443022391419171
16,0.004125260915731668
17,0.00324506704301989
18,0.0026143873877043757
19,0.0021528246051734173
20,0.0018114631085638458
21,0.0015504329765089384
22,0.001351316864478625
23,0.0011978887635027084
24,0.0010785982604724499
25,0.0009814658890306652
26,0.000904848760588587
27,0.0008426091255380509
28,0.0007913886253192893
29,0.0007488349163607133
30,0.0007133337158418367
31,0.0006838062195355724
32,0.0006590385732249249
33,0.0006379318197292367
34,0.0006191826571837535
35,0.0006026668244815637
